"Code does not exist.","Der Gutschein existiert nicht."
"Your coupon is inactive.","Der Gutschein ist inaktiv"
"Your coupon is not valid for this store.","Der Gutschein ist für diesen Shop nicht gültig."
"Allowed Websites: %s.","Erlaubte Websites: %s."
"Your coupon is not valid for your Customer Group","Der Gutschein ist für Ihre Kundengruppe nicht freigeschaltet."
"Allowed Customer Groups: %s.","Erlaubte Kundengruppen: %s."
"Your coupon is not valid yet. It will get active on %s","Der Gutschein ist noch nicht aktiv. Er wird am %s freigeschaltet."
"Your coupon is not valid any more. It expired on %s.","Der Gutschein ist nicht mehr gültig. Er ist am %s abgelaufen."
"Your coupon was already used.","Ihr Gutschein wurde bereist benutzt."
"It may only be used %s time(s).","Er kann nur %s mal eingesetzt werden."
"You have already used your coupon.","Sie haben diesen Gutschein bereits eingelöst."
"It may only be used %s time(s) per customer.","Er kann nur %s mal pro Kunde eingesetzt werden."
