"Code does not exist.","Code does not exist."
"Your coupon is inactive.","Your coupon is inactive."
"Your coupon is not valid for this store.","Your coupon is not valid for this store."
"Allowed Websites: %s.","Allowed Websites: %s."
"Your coupon is not valid for your Customer Group.","Your coupon is not valid for your Customer Group."
"Allowed Customer Groups: %s.","Allowed Customer Groups: %s."
"Your coupon is not valid yet. It will be active on %s.","Your coupon is not valid yet. It will be active on %s."
"Your coupon is no longer valid. It expired on %s.","Your coupon is no longer valid. It expired on %s."
"Your coupon was already used.","Your coupon was already used."
"It may only be used %s time(s).","It may only be used %s time(s)."
"You have already used your coupon.","You have already used your coupon."
"It may only be used %s time(s) per customer.","It may only be used %s time(s) per customer."
